Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
110.2955,0.870786,1.159232,0.3473179,0.7183006,-0.5161229,0.4316626,-0.1769995,0.1467561,-0.2003592,0.8096913,0.1181428,1.254525,-0.3421824,-0.8440051,-0.5269824,0.06750545,-0.07340154,-1.137892,-0.1267068,0.07072774
110.3978,0.8572492,1.142803,0.4012942,0.6743667,-0.5266046,0.4712746,-0.21405,-0.101377,-0.1802707,0.6067322,0.03623308,1.238344,-0.3095375,-0.8196337,-0.554424,0.136997,-0.0452375,-0.9052562,-0.1816581,0.3621515
110.4991,0.8330463,1.127048,0.4414458,0.609058,-0.5592254,0.4971955,-0.2628917,-0.1908704,-0.1662353,0.4108428,-0.03175073,1.210954,-0.2505074,-0.7853048,-0.5787315,0.2186812,-0.02333628,-0.6760035,-0.2903084,0.5717242
110.6002,0.8189452,1.112672,0.4733096,0.5305725,-0.6030487,0.5263559,-0.278881,-0.1369681,-0.1917585,0.395469,-0.06697996,1.182336,-0.1887608,-0.7420243,-0.5989967,0.3006053,-0.01547268,-0.4296568,-0.3341352,0.6593388
110.7171,0.8173519,1.109155,0.5004002,0.518563,-0.5782658,0.5575706,-0.2929439,-0.02180632,-0.0359996,0.2601642,-0.07469027,1.14723,-0.1357229,-0.721712,-0.5898284,0.3599555,-0.04081905,-0.06542738,-0.3651839,0.5091253
110.8326,0.8254887,1.112212,0.4775268,0.5210376,-0.5857865,0.5513868,-0.2852133,0.05955358,0.02394611,-0.2521643,-0.02883561,1.128711,-0.1236738,-0.7313223,-0.5749974,0.3521984,-0.1024795,0.4481357,-0.1495604,0.06149746
111.4141,0.8091561,1.162837,0.1149743,0.4570397,-0.8225658,0.2740829,-0.1984411,-0.1122728,0.5055154,-0.1585506,0.4538347,1.210419,-0.2202341,-0.5005868,-0.7910374,0.007200122,-0.3515975,0.275728,0.5735182,0.05793191
111.5305,0.7890164,1.258675,0.1290974,0.3985173,-0.8692454,0.1592825,-0.2454092,-0.1798833,0.8793828,0.1233077,0.4377046,1.300196,-0.1968981,-0.4045504,-0.8367519,-0.05641615,-0.364695,-0.1289963,0.8341409,0.2105831
111.6456,0.7661352,1.344513,0.1676365,0.3667863,-0.8901161,0.05769346,-0.2642587,-0.2008262,0.8399059,0.3442436,0.39224,1.38696,-0.1694832,-0.3178663,-0.8672233,-0.1240455,-0.362626,-0.389805,0.875534,0.2597172
111.7598,0.7400618,1.416359,0.2150638,0.3524828,-0.8903592,-0.03853694,-0.2855372,-0.2492514,0.7121339,0.4350498,0.3352508,1.454919,-0.1380413,-0.2449191,-0.8856875,-0.1866497,-0.3474683,-0.5242596,0.6877468,0.2977149
